psp_id,mp_id,family_name,given_name,title_pre,title_post,birth_date,death_date,gender,region_id,region_name_cs,region_name_en,list_id,list_abbreviation,list_name_cs,list_name_en,last_group_id,last_group_abbreviation,last_group_name_cs,last_group_name_en,last_group_since,last_group_until,since,until,current,full_term,web,street,municipality,postcode,email,phone,fax,psp_phone,facebook
1085,5888,Slámová,Klára,JUDr.,,1977-08-27,,Ž,581,Hlavní město Praha,Capital Prague,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,856,Nezařaz,Nezařazení,Unaffiliated Deputies,2010-04-30,2010-06-03,2010-04-30,2010-06-03,False,False,,,,,,,,,
946,386,Křeček,Stanislav,JUDr.,,1938-05-20,,M,581,Hlavní město Praha,Capital Prague,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,863,ČSSD,Poslanecký klub České strany sociálně demokratické,\tPolitical group Czech Social Democratic Party,2010-06-04,2013-04-05,2006-06-03,2010-06-03,False,False,,,,,,,,,
1028,239,Škromach,Zdeněk,Ing.,,1956-12-31,,M,593,Zlínský,Zlin,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,863,ČSSD,Poslanecký klub České strany sociálně demokratické,\tPolitical group Czech Social Democratic Party,2010-06-04,2010-10-23,2006-06-03,2010-06-03,False,False,,,,,,,,,
1078,5284,Vojtilová,Jitka,Ing.,,1962-09-28,,Ž,587,Liberecký,Liberec,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,750,ČSSD,Poslanecký klub České strany sociálně demokratické,Political Group of the Czech Social Democratic Party,2009-07-13,2010-06-03,2009-07-13,2010-06-03,False,False,,,,,,,,,
873,5445,Boháč,Zdeněk,Mgr.,,1958-03-11,,M,592,Olomoucký,Olomouc,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,864,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2010-05-30,2013-08-28,2006-06-03,2010-06-03,False,False,,,,,,,,,
943,5385,Kratochvíle,Karel,Ing.,,1958-04-27,,M,583,Jihočeský,Southern Bohemia,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,750,ČSSD,Poslanecký klub České strany sociálně demokratické,Political Group of the Czech Social Democratic Party,2006-06-05,2010-06-03,2006-06-03,2010-06-03,False,False,,,,,,,,,
973,5485,Novosad,František,Ing.,,1948-05-22,,M,593,Zlínský,Zlin,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,863,ČSSD,Poslanecký klub České strany sociálně demokratické,\tPolitical group Czech Social Democratic Party,2010-06-04,2013-08-28,2006-06-03,2010-06-03,False,False,,,,,,,,,
970,5484,Morava,Jan,,,1979-02-27,,M,582,Středočeský,Central Bohemia,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,753,ODS,Poslanecký klub Občanské demokratické strany,Political Group of the Civic Democratic Party,2006-06-08,2008-09-17,2006-06-03,2008-09-17,False,False,,,,,,,,,
1061,5294,Zgarba,Petr,Ing.,,1959-09-18,,M,590,Vysočina,Vysocina,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,863,ČSSD,Poslanecký klub České strany sociálně demokratické,\tPolitical group Czech Social Democratic Party,2012-10-20,2013-08-28,2006-06-03,2010-06-03,False,False,,,,,,,,,
967,5317,Michalík,Alfréd,Ing.,,1944-08-25,,M,594,Moravskoslezský,Moravia-Silesia,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,863,ČSSD,Poslanecký klub České strany sociálně demokratické,\tPolitical group Czech Social Democratic Party,2010-06-04,2013-08-28,2006-06-03,2010-06-03,False,False,,,,,,,,,
881,441,Bursík,Martin,RNDr.,,1959-08-12,,M,581,Hlavní město Praha,Capital Prague,749.0,SZ,Strana zelených,Green Party,852,SZ,Poslanecký klub Strany zelených,Political group of the Green Party,2007-01-09,2010-06-03,2006-06-03,2010-06-03,False,False,,,,,,,,,
995,5495,Rádl,Aleš,Mgr.,,1966-04-13,,M,582,Středočeský,Central Bohemia,155.0,ODS,Občanská demokratická strana,Civic Democratic Party,864,ODS,Poslanecký klub Občanské demokratické strany,Political group Civic Democratic Party,2010-05-30,2013-08-28,2006-06-03,2010-06-03,False,False,,,,,,,,,
942,5472,Krátký,Jiří,Ing.,,1945-02-14,,M,592,Olomoucký,Olomouc,153.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,863,ČSSD,Poslanecký klub České strany sociálně demokratické,\tPolitical group Czech Social Democratic Party,2010-06-04,2013-08-28,2006-06-03,2010-06-03,False,False,,,,,,,,,
